electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
Clark County,Treasurer,Laura B.Fitzpatrick,,,http://www.clarkcountynv.gov//ElectedOfficials/Pages/CountyTreasurer.aspx,,,
Cook County Council 1st District,County Commissioner 1st District,Richard R. Boykin,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4566,http://www.cookcountyil.gov/richard-boykin-1st/,richard.boykin@cookcountyil.gov,,
Cook County Council 2nd District,County Commissioner 2nd District,Robert Steele,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312)603-3019,http://www.cookcountyil.gov/robert-steele/,r.steele@robertsteele.org,,
Cook County Council 3rd District,County Commissioner 3rd District,"Jerry ""Iceman"" Butler","118 N. Clark Street, Room 567 Chicago, IL 60602",,http://www.cookcountyil.gov/jerry-iceman-butler/,,,
Cook County Council 4th District,County Commissioner 4th District,Stanley Moore,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-2065,http://www.cookcountyil.gov/stanley-moore-4th/,,,
Cook County Council 5th District,County Commissioner 5th District,Deborah Sims,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603 6381,http://www.cookcountyil.gov/deborah-sims-5th/,deborah.sims@cookcountyil.gov,,
Cook County Council 6th District,County Commissioner 6th District,Joan Patricia Murphy,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4216,http://www.cookcountyil.gov/joan-patricia-murphy-6th/,joan.murphy@cookcountyil.gov,,
Cook County Council 7th District,County Commissioner 7th District,Jesus G. Garcia,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-5443,http://www.cookcountyil.gov/jesus-g-garcia-7th/,Jesus.Garcia@cookcountyil.gov,,
Cook County Council 8th District,County Commissioner 8th District,Luis Arroyo Jr.,"118 N. Clark Street, Room 567 Chicago, IL 60602",,http://www.cookcountyil.gov/luis-arroyojr-8th/,,,
Cook County Council 9th District,County Commissioner 9th District,Peter N. Silvestri,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4393,http://www.cookcountyil.gov/peter-n-silvestri-9th/,cookcty9@aol.com,,
Cook County Council 10th District,County Commissioner 10th District,Bridget Gainer,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4210,http://www.cookcountyil.gov/bridget-gainer-10th/,commissioner@bridgetgainer.com,,
Cook County Council 11th District,County Commissioner 11th District,John P. Daley,"118 N. Clark Street, Room 567 Chicago, IL 60602",,http://www.cookcountyil.gov/john-p-daley-11th/,,,
Cook County Council 12th District,County Commissioner 12th District,John A. Fritchey,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-6380,http://www.cookcountyil.gov/john-a-fritchey-12th/,commish@fritchey.com,,
Cook County Council 13th District,County Commissioner 13th District,Larry Suffredin,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312)603-6383,http://www.cookcountyil.gov/larry-suffredin-13th/,larry.suffredin@cookcountyil.gov,,
Cook County Council 14th District,County Commissioner 14th District,Gregg Goslin,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4932,http://www.cookcountyil.gov/gregg-goslin-14th/,commissioner.goslin@cookcountyil.gov,,
Cook County Council 15th District,County Commissioner 15th District,Timothy O. Schneider,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-6388,http://www.cookcountyil.gov/timothy-o-schneider-15th/,tim.schneider@cookcountyil.gov,,
Cook County Council 16th District,County Commissioner 16th District,Jeffrey R. Tobolski,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-6384,http://www.cookcountyil.gov/jeffrey-r-tobolski-16th/,,,
Cook County Council 17th District,County Commissioner 17th District,"Elizabeth ""Liz"" Doody Gorman","118 N. Clark Street, Room 567 Chicago, IL 60602",(312 )603-4215,http://www.cookcountyil.gov/elizabeth-liz-doody-gorman-17th/,,,
Cook County,Assessor,Joseph Berrios,,,http://www.cookcountyil.gov/joseph-berrios/,,,
Cook County,Clerk of Court,Dorothy Brown,,,http://www.cookcountyclerkofcourt.org/,,,
Cook County,County Clerk,David Orr,,,http://www.cookcountyclerk.com/Pages/default.aspx,,,
Cook County,Sheriff,Thomas J. Dart,,,http://www.cookcountysheriff.org,,,
Cook County,State's Attorney,Anita Alvarez,,,http://www.statesattorney.org/,,,
Cook County,Treasurer,Maria Pappas,,,http://www.cookcountytreasurer.com/,,,
Dallas County,County Judge,Clay Jenkins,,,http://www.dallascounty.org/department/comcrt/cjenkins.php,,,
Dallas County,County Clerk,John F. Warren,,,http://www.dallascounty.org/department/countyclerk/countyclerk.php,,,
Dallas County,District Attorney,Susan Hawk,,,http://www.dallascounty.org/department/da/da_index.php,,,
Dallas County,District Clerk,Felicia Pitre,,,http://www.dallascounty.org/department/districtclerk/districtclerk_index.html,,,
Dallas County,Sheriff,Lupe Valdez,,,http://www.dallascounty.org/department/sheriff/sheriff_intro.php,,,
Dallas County,Tax Assessor-Collector,John R. Ames,,,http://www.dallascounty.org/department/tax/taxoffice_home.html,,,
Dallas County,Treasurer,Pauline Medrano,,,http://www.dallascounty.org/department/treasurer/treasurer_index.php,,,
Dallas County Council District 1,County Commissioner District 1,Dr. Theresa M. Daniel,"411 Elm St., 2nd Floor Dallas, Texas 75202",214-653-6668,http://www.dallascounty.org/department/comcrt/daniel.php,,,
Dallas County Council District 2,County Commissioner District 2,Mike Cantrell,"411 Elm St., 2nd Floor Dallas, Texas 75202",,http://www.dallascounty.org/department/comcrt/district2/cantrell.html,,,
Dallas County Council District 3,County Commissioner District 3,John Wiley Price,"411 Elm St., 2nd Floor Dallas, Texas 75202",,http://www.dallascounty.org/department/comcrt/district3/bio.php,,,
Dallas County Council District 4,County Commissioner District 4,Dr. Elba Garcia,"411 Elm St., 2nd Floor Dallas, Texas 75202",214653-6670,http://www.dallascounty.org/department/comcrt/district4/home.php,,,
Harris County,County Judge,Ed Emmett,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.judgeemmett.org,,,
Harris County Council Precinct 1,County Commissioner Precinct 1,El Franco Lee,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://hcp1.net/,,,
Harris County Council Precinct 2,County Commissioner Precinct 2,Jack Morman,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcp2.com/,,,
Harris County Council Precinct 3,County Commissioner Precinct 3,Steve Radack ,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.pct3.hctx.net/,,,
Harris County Council Precinct 4,County Commissioner Precinct 4,R. Jack Cagle,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcp4.net/,,,
Harris County,County Attorney,Vince Ryan,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.harriscountytx.gov/coatty/,,,
Harris County,District Attorney,Devon Anderson,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://app.dao.hctx.net/,,,
Harris County,County Clerk,Stan Stanart,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.cclerk.hctx.net/,,,
Harris County,District Clerk,Chris Daniel,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcdistrictclerk.com/,,,
Harris County,Sheriff,Ron Hickman,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcso.hctx.net/,,,
Harris County,Tax Assessor-Collector,Mike Sullivan,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hctax.net/,,,
Harris County,County Treasurer,Orlando Sanchez,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.harriscountytx.gov/treasurer/,,,
King County Council District 1,County Councilmember District 1,Rod Dembowski,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1001,http://www.kingcounty.gov/Dembowski.aspx,rod.dembowski@kingcounty.gov%20,,
King County Council District 2,County Councilmember District 2,Larry Gossett,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1002,http://www.kingcounty.gov/Gossett.aspx,larry.gossett@kingcounty.gov,,
King County Council District 3,County Councilmember District 3,Kathy Lambert,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1003,http://www.kingcounty.gov/Lambert.aspx,kathy.lambert@kingcounty.gov,,
King County Council District 4,County Councilmember District 4,Larry Phillips,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1004,http://www.kingcounty.gov/Phillips.aspx,larry.phillips@kingcounty.gov,,
King County Council District 5,County Councilmember District 5,Dave Upthegrove,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1005,http://www.kingcounty.gov/Upthegrove.aspx,dave.upthegrove@kingcounty.gov,,
King County Council District 6,County Councilmember District 6,Jane Hague,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1006,http://www.kingcounty.gov/Hague.aspx,jane.hague@kingcounty.gov,,
King County Council District 7,County Councilmember District 7,Pete von Reichbauer,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1007,http://www.kingcounty.gov/vonReichbauer.aspx,pete.vonreichbauer@kingcounty.gov,,
King County Council District 8,County Councilmember District 8,Joe McDermott,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1008,http://www.kingcounty.gov/McDermott.aspx,joe.mcdermott@kingcounty.gov,,
King County Council District 9,County Councilmember District 9,Reagan Dunn,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1009,http://www.kingcounty.gov/Dunn.aspx,reagan.dunn@kingcounty.gov,,
King County,Assessor,Lloyd Hara,,,http://www.kingcounty.gov/Assessor.aspx,,,
King County,Elections Director,Sherril Huff,,,http://www.kingcounty.gov/elections.aspx,,,
King County,Prosecutor,Dan Satterberg,,,http://www.kingcounty.gov/Prosecutor.aspx,,,
King County,Sheriff,John Urquhart,,,http://www.kingcounty.gov/Prosecutor/news.aspx,,,
Brooklyn,Distict Attorney,Ken Thompson,,,http://brooklynda.org,,,
Queens,Distict Attorney,Richard A. Brown,,,http://www.queensda.org/index2.html,,,
Los Angeles County Council District 1,County Supervisor District 1,Hilda L. Solis,"500 W. Temple St. Room 358, Los Angeles 90012",(213) 974-4111,http://solis.lacounty.gov,firstdistrict@bos.lacounty.gov,http://facebook.com/HildaSolis,https://twitter.com/HildaSolis
Los Angeles County Council District 2,County Supervisor District 2,Mark Ridley-Thomas,"500 W. Temple St. Room 358, Los Angeles 90012",(213) 974-2222,http://ridley-thomas.lacounty.gov,markridley-thomas@bos.lacounty.gov,http://facebook.com/markridleythomas,https://twitter.com/mridleythomas
Los Angeles County Council District 3,County Supervisor District 3,Sheila Kuehl,"500 W. Temple St. Room 358, Los Angeles 90012",(213) 974-3333,http://supervisorkuehl.com/,sheila@bos.lacounty.gov,https://www.facebook.com/sjkuehl,https://twitter.com/https://twitter.com/sheilakuehl
Los Angeles County Council District 4,County Supervisor District 4,Don Knabe,"500 W. Temple St. Room 358, Los Angeles 90012",(213) 974-4444,http://knabe.com,don@bos.lacounty.gov,http://facebook.com/SupervisorKnabe,https://twitter.com/DonKnabe
Los Angeles County Council District 5,County Supervisor District 5,Michael D. Antonovich,"500 W. Temple St. Room 358, Los Angeles 90012",(213) 974-5555,http://antonovich.com,fifthdistrict@lacbos.org,http://facebook.com/michael.antonovich,https://twitter.com/MikeAntonovich
Los Angeles County,Assessor,Jeffrey Prang,,,http://assessor.lacounty.gov/,,,
Los Angeles County,District Attorney,Jackie Lacey,,,http://da.lacounty.gov/,,,
Maricopa County,Assessor,Paul Petersen,,,http://mcassessor.maricopa.gov/the-assessor/biography/,,,
Maricopa County,Clerk of the Board,Fran McCarroll,,,https://www.maricopa.gov/clk_board/default.aspx,,,
Maricopa County,Clerk of the Court,Michael Jeanes,,,http://clerkofcourt.maricopa.gov/clkbio.asp,,,
Maricopa County,County Attorney,Bill Montgomery,,,http://www.maricopacountyattorney.org,,,
Maricopa County,County Manager,Tom Manos,,,https://www.maricopa.gov/cao/,,,
Maricopa County,Deputy County Manager,Sandi Wilson,,,https://www.maricopa.gov/dcm/,,,
Maricopa County Council District 1,County Supervisor District 1,Denny Barney,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-1776,https://www.maricopa.gov/dist1/default.aspx,barneyd@mail.maricopa.gov,,
Maricopa County Council District 2,County Supervisor District 2,Steve Chucri,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7431,https://www.maricopa.gov/dist2/,chucris@mail.maricopa.gov,,
Maricopa County Council District 3,County Supervisor District 3,Andy Kunasek,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7562,https://www.maricopa.gov/dist3/,akunasek@mail.maricopa.gov,,
Maricopa County Council District 4,County Supervisor District 4,Clint L. Hickman,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7642,https://www.maricopa.gov/dist4/,chickman@mail.maricopa.gov,,
Maricopa County Council District 5,County Supervisor District 5,Steve Gallardo,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7092,https://www.maricopa.gov/dist5/default.aspx,arzagawilliamsc@mail.maricopa.gov,,
Maricopa County,Recorder,Helen Purcell,,,http://recorder.maricopa.gov/recorder.aspx,,,
Maricopa County,School Superintendent,Dr. Don Covey,,,http://education.maricopa.gov/site/default.aspx?PageID=216,,,
Maricopa County,Sheriff,Joe Arpaio,,,http://www.mcso.org/About/Sheriff.aspx,,,
Maricopa County,Treasurer,Charles 'Hos' Hoskins,,,https://treasurer.maricopa.gov/Pages/LoadPage?page=Bio,,,
Miami-Dade County,Mayor,Carlos A. Gimenez,,,http://www.miamidade.gov/mayor/,,,
Miami-Dade County,"Clerk, Circuit and County Courts",Harvey Ruvin,,,http://www.miami-dadeclerk.com/,,,
Miami-Dade County,Property Appraiser,Pedro J. Garcia,,,http://www.miamidade.gov/pa/,,,
Miami-Dade County Council District 1,County Commissioner District 1,Barbara Jordan,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5694,http://www.miamidade.gov/district01/home.asp,District1@miamidade.gov,,
Miami-Dade County Council District 2,County Commissioner District 2,Jean Monestime,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4833,http://www.miamidade.gov/district02,district2@miamidade.gov,,
Miami-Dade County Council District 3,County Commissioner District 3,Audrey Edmonson,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5393,http://www.miamidade.gov/district03,district3@miamidade.gov,,
Miami-Dade County Council District 4,County Commissioner District 4,Sally A. Heyman,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5128,http://www.miamidade.gov/district04,district4@miamidade.gov,,
Miami-Dade County Council District 5,County Commissioner District 5,Bruno A. Barreiro,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-643-8525,http://www.miamidade.gov/district05,district5@miamidade.gov,,
Miami-Dade County Council District 6,County Commissioner District 6,Rebeca Sosa,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5696,http://www.miamidade.gov/district06,district6@miamidade.gov,,
Miami-Dade County Council District 7,County Commissioner District 7,Xavier L. Suarez,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-669-4003,http://www.miamidade.gov/district07,district7@miamidade.gov,,
Miami-Dade County Council District 8,County Commissioner District 8,Daniella Levine Cava,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5218,http://www.miamidade.gov/district08,district8@miamidade.gov,,
Miami-Dade County Council District 9,County Commissioner District 9,Dennis C. Moss,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4832,http://www.miamidade.gov/district09,DennisMoss@miamidade.gov,,
Miami-Dade County Council District 10,County Commissioner District 10,Javier D. Souto,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4835,http://www.miamidade.gov/district10,District10@miamidade.gov,,
Miami-Dade County Council District 11,County Commissioner District 11,Juan C. Zapata,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5511,http://www.miamidade.gov/district11,Zapata@miamidade.gov,,
Miami-Dade County Council District 12,County Commissioner District 12,"Jose ""Pepe"" Diaz","111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4343,http://www.miamidade.gov/district12,District12@miamidade.gov,,
Miami-Dade County Council District 13,County Commissioner District 13,"Esteban Bovo, Jr.","111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4831,http://www.miamidade.gov/district13,district13@miamidade.gov,,
Orange County Council District 3,Supervisor 3rd District,Todd Spitzer,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3330,http://ocgov.com/gov/bos/3,,,
Orange County Council District 5,Supervisor 5th District,Lisa A. Bartlett,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3550,http://ocgov.com/gov/bos/5,,,
Orange County Council District 1,Supervisor 1st District,Andrew Do,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3110,http://ocgov.com/gov/bos/1,,,
Orange County Council District 2,Supervisor 2nd District,Michelle Steel,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3220,http://ocgov.com/gov/bos/2,,,
Orange County Council District 4,Supervisor 4thDistrict,Shawn Nelson,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3440,http://ocgov.com/gov/bos/4,,,
Orange County,Assessor,Claude Parrish,,,http://ocgov.com/gov/assessor/,,,
Orange County,Sheriff-Coroner,Sandra Hutchens,,,http://ocsd.org/,,,
Orange County,District Attorney,Tony Rackauckas,,,http://orangecountyda.org/,,,
Orange County,Treasurer - Tax Collector,Shari L. Freidenrich,,,http://ocgov.com/gov/ttc/,,,
Orange County,Auditor-Controller,Controller,,,http://ac.ocgov.com/,,,
Riverside County Council District 1,Supervisor District 1,Kevin Jeffries,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1010,http://www.rivcoag.org,district1@rcbos.org,,
Riverside County Council District 2,Supervisor District 2,John F. Tavaglione,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1020,http://www.rivcocob.org/,district1@rcbos.org,,
Riverside County Council District 3,Supervisor District 3,Chuck Washington,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1030,http://www.rivcocfw.com/,district2@rcbos.org,,
Riverside County Council District 4,Supervisor District 4,John J. Benoit,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1040,http://www.rivcoda.org/,district2@rcbos.org,,
Riverside County Council District 5,Supervisor District 5,Marion Ashley,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1050,http://www.rivcoeda.org/,district3@rcbos.org,,
Riverside County,Assessor-Clerk-Recorder,Peter Aldana,,,http://www.asrclkrec.com,,,
Riverside County,Auditor-Controller,Paul Angulo,,,http://www.auditorcontroller.org,,,
Riverside County,District Attorney,Michael Hestrin,,,http://www.rivcoda.org/,,,
Riverside County,"Sheriff, Coroner and Public Administrator",Stanley Sniff,,,http://www.riversidesheriff.org/coroner/,,,
Riverside County,Treasurer and Tax Collector,Don Kent,,,http://www.countytreasurer.org/,,,
San Bernardino County Council District 1,County Supervisor District 1,Robert A. Lovingood,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4830,http://www.sbcounty.gov/bosd1/,,,
San Bernardino County Council District 2,County Supervisor District 2,Janice Rutherford,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4833,http://www.sbcounty.gov/bosd2/,,,
San Bernardino County Council District 3,County Supervisor District 3,James Ramos,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4855,http://www.sbcounty.gov/bosd3/,,,
San Bernardino County Council District 4,County Supervisor District 4,Curt Hagman ,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4866,http://www.sbcounty.gov/bosd4/,,,
San Bernardino County Council District 5,County Supervisor District 5,Josie Gonzales,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4565,http://www.sbcounty.gov/bosd5/,,,
San Bernardino County,Auditor-Controller/Treasurer/Tax Collector,Larry Walker,,(909) 387.8306,http://www.sbcounty.gov/acr/,,,
San Bernardino County,Assessor-Recorder/County Clerk,Bob Dutton,,(909) 387.8307,http://www.sbcounty.gov/assessor/,,,
San Bernardino County,District Attorney,Michael A. Ramos,,(909) 387.8309,http://www.sbcounty.gov/da/,,,
San Bernardino County,Sheriff / Coroner,John McMahon,,(909) 884.0156,http://www.sbcounty.gov/sheriff/,,,
San Bernardino County,Superintendent of Schools,Ted Alejandre,,(909) 888.3228,http://www.sbcss.k12.ca.us,,,
San Diego County Council District 1,County Supervisor District 1,Greg Cox,,(619) 531-5430,http://www.gregcox.com/,,,
San Diego County Council District 2,County Supervisor District 2,Dianne Jacob,,(619) 531-5430,http://www.diannejacob.com/,,,
San Diego County Council District 3,County Supervisor District 3,Dave Roberts,,(619) 531-5430,http://www.supervisordaveroberts.com/,,,
San Diego County Council District 4,County Supervisor District 4,Ron Roberts,,(619) 531-5430,http://www.ronroberts.com/,,,
San Diego County Council District 5,County Supervisor District 5,Bill Horn,,(619) 531-5430,http://billhorn.com/,,,
San Diego County,Assessor,"Ernest J. Dronenburg, Jr.",,,https://arcc.sdcounty.ca.gov/Pages/default.aspx,,,
San Diego County,District Attorney,Bonnie M. Dumanis,,,http://www.sdcda.org/,,,
San Diego County,Sheriff,Bill Gore,,,http://www.sdsheriff.net/,,,
San Diego County,Treasurer,Dan Mcallister,,,http://www.sdtreastax.com/,,,
Santa Clara County Council District r,District 1 Supervisor,Mike Wasserman," Tenth Floor - East Wing 70 West Hedding Street San Jose, CA 95110",408-299-5001,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
Santa Clara County Council District r,District 2 Supervisor,Cindy Chavez," Tenth Floor - East Wing 70 West Hedding Street San Jose, CA 95110",408-299-5001,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
